pid,name,alter,geschlecht,land,branche,subfokus,rolle,arbeitet_fachlich_mit,teamgroesse,jahresumsatz_eur,tech_affinitaet,digitale_reife,haltung,buchungswahrscheinlichkeit,nuetzlichster_teil,groesster_einwand,vertrauen_externe_gesundheitsdaten,aufbau_zu_guenstig,aufbau_guenstig,aufbau_teuer,aufbau_zu_teuer,aufbau_ideal,retainer_zu_guenstig,retainer_guenstig,retainer_teuer,retainer_zu_teuer,retainer_ideal
P001,Ramona,53,weiblich,CH,Physiotherapie-/Therapiepraxis,Sportphysio & Reha,"Inhaberin/Inhaber, rein unternehmerisch (kaum noch fachlich am Menschen)",False,8,610000,4,4,desinteressiert / sieht keinen Bedarf,4,"Internes Wissensmanagement und Kommunikation im Team, damit nicht alles über mich läuft; auch Aufnahme neuer Klienten mit weniger manueller Wiederholungsarbeit","Was passiert nach der Einrichtung, wenn die externe Person weg ist und etwas klemmt? Und der Eigenaufwand für Erklärungen und Entscheidungen während der Umsetzung ist nicht gratis – das Wort KI-gestützt braucht für mich sehr konkrete Erklärung","Sehr sensibel – brauche klare schriftliche Antworten zu Datenspeicherort (Schweiz), Zugriffsrechten, Vertrag und Referenzen aus dem Gesundheitsbereich; bei Vagheit sofort kein Interesse mehr",800.0,1500.0,3500.0,5500.0,2200.0,100.0,200.0,450.0,700.0,280.0
P002,Sabine,60,weiblich,DE,Ernährungs-/Gesundheitszentrum,Stoffwechsel & Darmgesundheit,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,6,476000,3,3,früher Anwender / probiert gern Neues,6,Automatisierte Terminorganisation mit Wartelistenverwaltung und strukturierter Aufnahmeprozess für neue Klienten,"Datenschutz bei hochsensiblen Gesundheitsdaten – 'datenschutzkonform' als Wort reicht nicht, konkrete Systeme und Verträge müssen geprüft werden; außerdem Sorge um Verlust der persönlichen Klientenbeziehung durch Automatisierung","Niedrig bis mittel zu Beginn – abhängig von Referenzen im Gesundheitsbereich, schriftlichem Datenschutzkonzept und persönlichem Bauchgefühl im Gespräch",500.0,1500.0,3500.0,6000.0,2200.0,100.0,250.0,500.0,900.0,350.0
P003,Tanja,38,weiblich,CH,Personal-Training-Studio,1:1 Personal Training,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,6,399000,2,2,skeptisch,4,"Terminorganisation und Aufnahme neuer Klienten – wiederkehrender manueller Prozess mit grösstem Sparpotenzial; zweitens internes Wissensmanagement, da alles nur im Kopf der Inhaberin ist","Angst vor Systemkomplexität nach Einrichtung, Skepsis gegenüber KI-Kommunikation mit Klienten wegen Verlust der Persönlichkeit, und der versteckte Zeitaufwand bei Einführung wird unterschätzt; sensibelster Punkt: Datenschutz bei persönlichen Klientendaten","Sehr niedrig ohne konkrete Antworten: Will genau wissen was gespeichert wird, wo, auf welchen Servern, Schweiz-konform – 'datenschutzkonform' allein reicht nicht als Beruhigung; dies ist die grösste Hürde überhaupt",500.0,1500.0,3500.0,6000.0,2200.0,100.0,200.0,450.0,800.0,280.0
P004,Janine,56,weiblich,CH,Präventions-/BGF-Anbieter,betriebliche Gesundheitsförderung,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,10,674000,4,4,neugierig-offen,7,Internes Wissensmanagement und Rapportierung sowie systematisierte Kommunikation mit Firmenkunden rund um Offerten und Auftragsabwicklung,Unklarer Aufwand der Erstanalyse für mich selbst; Zweifel ob jemand Externes die Individualität von BGF-Projekten wirklich versteht; keine Garantie für Nachhaltigkeit nach Projektende,"Grundsätzlich möglich, aber nur mit lückenlosen Antworten zu Datenspeicherung (CH/EU), Auftragsverarbeitungsvertrag, revDSG-Konformität und klarer Abgrenzung welche Daten überhaupt zugänglich sind – kein Verhandlungsspielraum",800.0,2500.0,5500.0,9000.0,3500.0,100.0,250.0,550.0,900.0,380.0
P005,Andrea,34,weiblich,DE,Wellness-/Longevity-Praxis (Premium),Longevity & Healthspan,"Inhaberin/Inhaber, rein unternehmerisch (kaum noch fachlich am Menschen)",False,2,214000,3,4,stark skeptisch,6,"Internes Wissensmanagement – zu viel implizites Wissen sitzt nur im Kopf der Inhaberin; zweitens Aufnahme neuer Klienten, die noch sehr manuell und inhaberabhängig ist",Angst vor Einheitslösung die nicht zur Premium-Individualität der Praxis passt; versteckter Zeitaufwand bei Einführung wird unterschätzt,"Sehr kritisch – will konkrete DSGVO-Nachweise, Datenspeicherung und Zugriffsrechte schriftlich geklärt haben; im Zweifel externe Datenschutzprüfung",800.0,1500.0,3500.0,5500.0,2200.0,100.0,200.0,450.0,700.0,300.0
P006,Thomas,30,männlich,DE,Physiotherapie-/Therapiepraxis,Osteopathie,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,8,635000,5,5,desinteressiert / sieht keinen Bedarf,5,"Terminorganisation und Patientenkommunikation – größter manueller Brocken; internes Wissensmanagement wäre strukturell wichtiger, aber da bin ich am skeptischsten",Einführung kostet mich selbst zu viel Zeit; nach Abgang der externen Person bleibt System das niemand intern wirklich betreuen kann,"Sehr kritisch – DSGVO, persönliche Haftung, Serverlage und Datenzugang müssen klar und lückenlos sein; vage Antworten wären K.O.-Kriterium",500.0,1500.0,3500.0,6000.0,2200.0,100.0,250.0,500.0,900.0,350.0
P007,Janine,43,weiblich,CH,Ernährungs-/Gesundheitszentrum,Stoffwechsel & Darmgesundheit,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,7,462000,3,3,pragmatisch-abwägend,6,Terminorganisation und strukturierte Aufnahme neuer Klienten – beides ist aktuell manuell und zeitaufwändig,"Datenschutz bei sensiblen Gesundheitsdaten ist K.O.-Kriterium; außerdem fehlt Klarheit, was 'KI-gestützt' konkret bedeutet und wo Daten liegen","Gering als Ausgangspunkt – braucht klare Nachweise: Serverstandort Schweiz/EU, DSG-Konformität, Auftragsverarbeitungsvertrag, definierte Zugriffsrechte",800.0,1500.0,3500.0,5500.0,2200.0,80.0,180.0,350.0,550.0,220.0
P008,Beat,50,männlich,CH,Personal-Training-Studio,EMS-Studio,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,2,161000,1,1,pragmatisch-abwägend,5,Selbstständige Terminbuchung durch Klienten inkl. Absagen und Erinnerungen; digitales Onboarding neuer Klienten mit Online-Formularen,"Angst vor neuer technischer Abhängigkeit und zu komplexen Systemen; Sorge, dass KI-Automatisierung die persönliche Beziehung zu Klienten beschädigt","Sehr kritisch – will genaue Antworten zu Datenspeicherung (Serverstandort, Schweizer Datenschutz), keine Floskeln; Vertrauen muss aktiv erarbeitet werden",500.0,1500.0,2500.0,4000.0,1800.0,100.0,200.0,350.0,500.0,250.0
P009,Lukas,57,männlich,CH,Präventions-/BGF-Anbieter,Rückenschule & Prävention,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,8,651000,3,2,überfordert / zu wenig Zeit,6,Terminorganisation und automatisierte Kursanmeldungen; internes Wissensmanagement um Abhängigkeit von meiner Person zu reduzieren,"Aufwand der Einführungsphase – Zeit für Dateneingabe, Prozessbeschreibung, Teamschulung fehlt; Sorge um digitale Überforderung des Teams; unklare Folgekosten","Sehr heikel – will konkrete Antworten zu Datenspeicherort, Zugriff, DSG/DSGVO-Konformität; kein Vertrauen auf Basis von Marketingaussagen; würde rechtliche Prüfung einschalten",500.0,1500.0,3500.0,6000.0,2200.0,80.0,200.0,450.0,800.0,290.0
P010,Julia,36,weiblich,DE,Wellness-/Longevity-Praxis (Premium),Spa & Privatklinik-nah,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,3,272000,5,5,neugierig-offen,7,Klienten-Onboarding-Automatisierung und internes Wissensmanagement – größter Hebel und echtes Risiko bei Personalausfall,Generische Kommunikation würde Premium-Positionierung beschädigen; Abhängigkeit von externem Anbieter ohne eigene Wartungskompetenz danach,"Sehr kritisch – Datenspeicherort, Zertifizierungen, Zugriffsrechte und wasserdichter AVV sind Pflicht; bei vagen Antworten sofortiger Abbruch",800.0,1800.0,3500.0,5500.0,2400.0,150.0,280.0,490.0,700.0,350.0
